write	17048
one	15206
use	14824
edu	14661
would	14646
get	13144
articl	11757
say	11504
know	10918
like	10652
make	9755
com	9538
peopl	9326
think	8288
time	8138
see	7277
also	7183
doe	6653
work	6450
take	6126
year	5894
new	5796
could	5728
system	5679
want	5645
good	5644
right	5627
well	5598
way	5508
even	5465
come	5433
thing	5341
look	5299
may	5205
god	5151
need	5066
problem	5012
two	4801
tri	4784
much	4753
max	4741
first	4733
mani	4682
file	4669
window	4580
call	4504
run	4413
post	4303
mean	4217
anyon	4166
point	4152
question	4096
believ	4082
program	4004
state	3982
seem	3917
tell	3853
give	3797
read	3719
drive	3672
mail	3621
differ	3587
someth	3566
thank	3559
back	3535
realli	3523
day	3514
number	3503
find	3494
pleas	3466
includ	3452
sinc	3444
help	3427
game	3419
still	3321
inform	3314
gener	3258
person	3252
reason	3238
bit	3211
univers	3193
govern	3181
start	3155
part	3086
last	3063
might	3001
support	2990
sure	2983
law	2968
case	2962
never	2951
christian	2944
follow	2941
ask	2933
let	2929
comput	2907
better	2876
key	2870
set	2842
interest	2821
power	2774
imag	2755
line	2751
group	2745
name	2740
car	2735
must	2724
hear	2696
fact	2685
anoth	2679
without	2677
possibl	2674
etc	2672
someon	2650
control	2614
world	2612
avail	2603
doesn	2599
lot	2590
show	2584
keep	2577
put	2577
chang	2534
list	2529
base	2474
data	2459
long	2455
word	2445
exist	2441
space	2424
life	2416
actual	2412
place	2387
probabl	2359
around	2339
book	2336
anyth	2293
gun	2293
didn	2292
happen	2292
softwar	2290
littl	2288
howev	2287
play	2266
end	2246
talk	2227
everi	2213
card	2198
team	2193
claim	2186
high	2154
best	2150
build	2141
second	2132
least	2131
true	2129
buy	2124
cours	2112
opinion	2101
idea	2089
kill	2084
enough	2081
order	2073
version	2068
consid	2066
child	2056
hard	2055
answer	2010
david	2010
public	2010
great	2006
armenian	1999
live	1995
provid	1991
sourc	1979
far	1966
man	1953
nation	1953
old	1953
real	1953
send	1945
either	1943
issu	1938
though	1938
note	1928
caus	1922
human	1908
refer	1887
exampl	1879
chip	1878
current	1870
noth	1867
jesu	1858
requir	1850
found	1845
thought	1837
els	1829
rather	1828
understand	1828
wrong	1825
effect	1820
free	1819
respons	1809
john	1804
subject	1804
origin	1787
report	1781
american	1775
quit	1769
engin	1761
sever	1756
hand	1743
allow	1742
standard	1735
email	1727
machin	1723
type	1721
phone	1719
care	1716
price	1713
graphic	1705
hope	1700
user	1691
feel	1686
mayb	1685
abl	1679
kind	1678
disk	1677
suggest	1673
win	1670
turn	1664
address	1655
big	1654
alway	1653
yet	1649
non	1646
next	1638
three	1634
ever	1623
applic	1619
sell	1619
isn	1615
develop	1609
becom	1607
bad	1600
color	1600
object	1593
messag	1587
research	1587
sound	1570
net	1568
evid	1565
internet	1564
author	1556
mac	1556
driver	1549
home	1547
view	1542
manag	1522
left	1518
result	1516
larg	1514
mark	1514
player	1514
won	1514
design	1509
bill	1501
rememb	1500
cost	1498
forc	1498
whether	1492
pay	1489
love	1487
accept	1486
hold	1486
open	1484
ftp	1483
fast	1482
given	1481
israel	1474
away	1473
check	1471
sun	1470
experi	1468
speed	1465
copi	1463
fire	1459
add	1458
code	1458
test	1455
news	1452
area	1449
agre	1441
posit	1441
appear	1439
discuss	1436
today	1434
move	1424
display	1423
import	1420
unit	1416
oper	1404
local	1402
encrypt	1399
mind	1395
format	1394
creat	1391
major	1390
close	1389
side	1387
commun	1386
week	1385
secur	1384
box	1382
jew	1373
matter	1372
servic	1371
fax	1367
religion	1365
access	1360
war	1356
compani	1353
presid	1353
wonder	1347
complet	1344
countri	1344
full	1343
technolog	1337
info	1322
alreadi	1319
studi	1319
offer	1318
small	1318
assum	1317
specif	1315
scienc	1309
cannot	1308
server	1305
church	1298
center	1288
guy	1285
stop	1285
protect	1281
product	1278
argument	1276
perhap	1276
stuff	1276
save	1271
scsi	1268
mention	1264
money	1263
valu	1259
rule	1258
bibl	1257
process	1255
month	1254
begin	1252
expect	1247
ago	1245
recent	1240
packag	1237
correct	1236
pretti	1234
hit	1233
light	1233
organ	1226
woman	1225
rate	1224
offic	1219
head	1216
memori	1216
death	1214
model	1211
easi	1207
die	1205
perform	1202
deal	1197
form	1197
bodi	1196
whole	1195
nasa	1194
bring	1191
act	1190
present	1190
speak	1189
instal	1188
board	1185
final	1185
guess	1182
belief	1181
receiv	1179
advanc	1178
hous	1170
term	1170
level	1167
natur	1163
except	1162
pass	1162
appl	1160
often	1153
break	1152
attack	1151
paul	1150
statement	1150
member	1147
action	1142
friend	1142
homosexu	1142
moral	1141
comment	1136
everyth	1136
intern	1135
usual	1133
appreci	1132
command	1132
involv	1124
histori	1119
sort	1118
simpli	1116
gov	1113
plan	1110
limit	1109
continu	1108
error	1104
carri	1103
men	1099
muslim	1097
